Can you also detect the fragrance from <position>?
Can you also smell the scent from <position>?
Can you detect the aroma coming from <position> as well?
Can you detect the aroma from <position> as well?
Can you detect the fragrance coming from <position>?
Can you detect the fragrance from <position> as well?
Can you detect the scent coming from <position> as well?
Can you detect the scent coming from <position>?
Can you detect the scent from <position> too?
Can you detect the scent from <position>?
Can you pick up the scent coming from <position>?
Can you sense the aroma coming from <position>?
Can you smell something coming from <position> as well?
Can you smell something from <position> as well?
Can you smell the aroma coming from <position>?
Can you smell the aroma from <position> too?
Can you smell the aroma from <position>?
Can you smell the aroma wafting from <position> too?
Can you smell the fragrance coming from <position> as well?
Can you smell the fragrance coming from <position>?
Can you smell the fragrance from <position>?
Can you smell the scent coming from <position> too?
Can you smell the scent drifting from <position>?
Do you also notice the scent coming from <position>?
Do you also sense the scent coming from <position>?
Do you catch the fragrance from <position>?
Do you catch the scent coming from <position>?
Do you catch the scent from <position>?
Do you notice the aroma coming from <position>?
Do you notice the fragrance coming from <position>?
Do you notice the scent coming from <position>?
Do you sense the aroma coming from <position> as well?
Do you smell the aroma coming from <position> too?
Do you smell the aroma coming from <position>?
Do you smell the aroma from <position>?
Do you smell the fragrance coming from <position> too?
Do you smell the fragrance coming from <position>?
Do you smell the fragrance drifting from <position>?
Do you smell the fragrance from <position> too?
Do you smell the fragrance wafting from <position>?
Do you smell the scent coming from <position> too?
Do you smell the scent from <position> as well?
Do you smell the scent from <position>?
Do you smell the scent wafting from <position>?
Do you smell what’s coming from <position>?
Do you smell what’s drifting from <position>?
I can detect the smell from <position>, can you smell it as well?
The scent comes from <position>, isn’t that right?
The scent comes from <position>, it seems.
The scent comes from <position>, it's clear, isn't it?
The scent comes from <position>, no?
The scent comes from <position>, right, doesn't it?
The scent comes from <position>, right?
The scent comes from <position>, wouldn't it?
The scent comes from <position>, wouldn't you say?
The scent comes from <position>, yeah?
The scent could be from <position>, don't you think?
The scent could be from <position>, right?
The scent definitely comes from <position>, doesn't it?
The scent definitely comes from <position>, doesn’t it?
The scent definitely originates from <position>, doesn't it?
The scent definitely originates from <position>, right?
The scent emanates from <position>, doesn't it now?
The scent emanates from <position>, doesn't it?
The scent emanates from <position>, no?
The scent has to be from <position>, doesn’t it?
The scent has to be from <position>, right?
The scent has to come from <position>, correct?
The scent has to come from <position>, right?
The scent is clearly from <position>, right?
The scent is coming from <position>, I guess?
The scent is coming from <position>, are you smelling it too?
The scent is coming from <position>, can you sense it too?
The scent is coming from <position>, can you smell it as well?
The scent is coming from <position>, do you catch it?
The scent is coming from <position>, do you detect it too?
The scent is coming from <position>, do you pick it up too?
The scent is coming from <position>, do you pick it up?
The scent is coming from <position>, do you recognize it too?
The scent is coming from <position>, do you sense it?
The scent is coming from <position>, do you smell it too?
The scent is coming from <position>, don't you think?
The scent is coming from <position>, isn't it?
The scent is coming from <position>, isn’t that true?
The scent is coming from <position>, right?
The scent is definitely coming from <position>, right?
The scent is definitely from <position>, isn't it?
The scent is definitely from <position>, isn’t it?
The scent is definitely from <position>, right?
The scent is drifting from <position>, do you notice it too?
The scent is evidently from <position>, isn't it?
The scent is from <position>, I believe?
The scent is from <position>, I suppose, right?
The scent is from <position>, I suppose?
The scent is from <position>, do you catch it?
The scent is from <position>, do you pick up on it too?
The scent is from <position>, do you smell it too?
The scent is from <position>, don't you agree?
The scent is from <position>, don't you think?
The scent is from <position>, is it not so?
The scent is from <position>, is it not?
The scent is from <position>, is that not the case?
The scent is from <position>, isn't it obvious?
The scent is from <position>, isn't it plain to see?
The scent is from <position>, isn't it so?
The scent is from <position>, isn't it?
The scent is from <position>, isn't that correct?
The scent is from <position>, isn't that obvious?
The scent is from <position>, isn't that so?
The scent is from <position>, isn’t it true?
The scent is from <position>, isn’t that right?
The scent is from <position>, it seems, doesn't it?
The scent is from <position>, it's evident, isn't it?
The scent is from <position>, it's pretty obvious, isn't it?
The scent is from <position>, no doubt about it?
The scent is from <position>, no?
The scent is from <position>, right, isn't it?
The scent is from <position>, right?
The scent is from <position>, that's true, isn't it?
The scent is from <position>, wouldn't that be right?
The scent is from <position>, wouldn't you agree?
The scent is from <position>, wouldn't you say?
The scent is from <position>, you would agree, wouldn't you?
The scent is likely from <position>, isn't it?
The scent is likely from <position>, wouldn't it?
The scent is likely from <position>, wouldn't you say?
The scent is most definitely from <position>, right?
The scent is most likely from <position>, don't you think?
The scent is most likely from <position>, isn't it?
The scent is most likely from <position>, isn’t it?
The scent is most likely from <position>, no?
The scent is originating from <position>, isn’t it?
The scent is probably from <position>, isn't it?
The scent is surely from <position>, isn’t it?
The scent is surely from <position>, right?
The scent is undoubtedly from <position>, isn't it?
The scent is wafting from <position>, can you pick it up?
The scent likely comes from <position>, doesn't it?
The scent looks as though it is from <position>, doesn't it?
The scent looks like it comes from <position>, right?
The scent looks like it could be from <position>, doesn't it?
The scent looks like it originates from <position>, doesn't it?
The scent looks like it's from <position>, right?
The scent must be coming from <position>, right?
The scent must be from <position>, am I right?
The scent must be from <position>, doesn't it?
The scent must be from <position>, is it not?
The scent must be from <position>, isn't it?
The scent must be from <position>, right?
The scent must come from <position>, correct?
The scent must come from <position>, right?
The scent must originate from <position>, correct?
The scent must originate from <position>, doesn't it?
The scent must originate from <position>, right?
The scent must surely be from <position>, right?
The scent originates from <position>, doesn't it?
The scent originates from <position>, doesn’t it?
The scent originates from <position>, isn’t it right?
The scent originates from <position>, it seems.
The scent originates from <position>, right?
The scent seems to be coming from <position>, right?
The scent seems to be from <position>, doesn't it?
The scent seems to be from <position>, isn't it?
The scent seems to be from <position>, no?
The scent seems to be from <position>, right?
The scent seems to come from <position>, don’t you think?
The scent seems to come from <position>, right?
The scent seems to come from <position>, wouldn't you agree?
The scent seems to originate from <position>, doesn’t it?
The scent seems to originate from <position>, right?
The scent seems to originate from <position>, wouldn't you say?
The scent surely comes from <position>, doesn't it?
The scent surely comes from <position>, doesn’t it?
The scent surely comes from <position>, right?
The scent surely originates from <position>, doesn't it?
The scent surely originates from <position>, doesn’t it?
The scent surely originates from <position>, right?
The smell is coming from <position>, are you picking it up too?
The smell is coming from <position>, are you picking it up?
The smell is coming from <position>, can you detect it?
The smell is coming from <position>, do you catch it too?
The smell is coming from <position>, do you notice it too?
The smell is coming from <position>, do you sense it as well?
The smell is coming from <position>, do you smell it too?
The smell is definitely from <position>, isn’t it?
The smell is from <position>, do you pick up on it?
The smell is from <position>, isn’t it?
The smell is from <position>, right?
The smell is most likely from <position>, isn't it?
The smell likely comes from <position>, doesn’t it?
The smell must be from <position>, isn’t that right?
The smell must come from <position>, right?
The smell must originate from <position>, doesn’t it?
The smell originates from <position>, doesn't it?
The smell originates from <position>, doesn’t it?
The smell surely comes from <position>, right?
There's a fragrance coming from <position>, can you pick it up?
There's a fragrance coming from <position>, can you smell it too?
There's a fragrance coming from <position>, do you detect it?
There's a fragrance coming from <position>, do you notice it as well?
There's a fragrance coming from <position>, do you recognize it?
There's a fragrance coming from <position>, do you sense it?
There's a fragrance coming from <position>, do you smell it?
There's a fragrance from <position>, do you detect it?
There's a fragrance from <position>, do you sense it too?
There's a fragrance from <position>, do you smell it?
There's a fragrance wafting from <position>, can you smell it?
There's a scent coming from <position>, can you pick it up?
There's a scent coming from <position>, do you catch it?
There's a scent from <position>, can you detect it?
There's a scent from <position>, do you smell it as well?
There's a smell coming from <position>, can you detect it?
There's a smell coming from <position>, do you detect it too?
There's a smell coming from <position>, do you pick it up as well?
There's a smell coming from <position>, do you smell it as well?
There's a smell drifting from <position>, do you notice it?
There's an aroma coming from <position>, do you perceive it?
There's an aroma coming from <position>, do you pick it up?
There's an aroma coming from <position>, do you smell it as well?
There's an aroma coming from <position>, do you smell it too?
There's an aroma from <position>, do you smell it too?
There's an aroma wafting from <position>, do you smell it too?
This fragrance is from <position>, right?
